patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.002,0.001,0.006,0.008,0.008,0.001,0.048,0.048,0.048
0,500,0.002,0.008,0.007,0.007,0.007,0,0,0,0
1,0,0.881,0.073,1.558,1.598,1.598,0.001,0.05,0.051,0.051
1,500,0.807,0.801,0.799,0.799,0.799,0,0,0,0
2,0,0.809,0.057,1.593,1.593,1.591,0.001,0.038,0.038,0.038
2,500,0.809,0.803,0.802,0.801,0.802,0,0,0,0
3,0,0.833,0.057,1.556,1.591,1.59,0.001,0.038,0.038,0.038
3,500,0.813,0.804,0.803,0.803,0.803,0,0,0,0
4,0,0.814,0.057,1.591,1.59,1.588,0.001,0.04,0.04,0.04
4,500,0.814,0.805,0.802,0.803,0.802,0,0,0,0
5,0,0.812,0.057,0.951,0.957,0.952,0.001,0.001,0.001,0.001
5,500,0.813,0.805,0.804,0.803,0.804,0,0,0,0
6,0,0.811,0.06,1.587,1.587,1.585,0.001,0.037,0.037,0.037
6,500,0.811,0.804,0.803,0.802,0.803,0,0,0,0
7,0,0.813,0.06,1.591,1.59,1.592,0.001,0.038,0.038,0.038
7,500,0.812,0.805,0.831,0.805,0.804,0,0,0,0
8,0,0.814,0.06,1.589,1.588,1.587,0.001,0.038,0.038,0.038
8,500,0.812,0.805,0.802,0.802,0.802,0,0,0,0
9,0,0.812,0.061,1.586,1.586,1.587,0.001,0.039,0.039,0.039
9,500,0.811,0.802,0.802,0.802,0.801,0,0,0,0
