patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0,500,0.001,0.004,0.003,0.003,0.003,0,0,0,0
1,0,0.045,0.049,0.045,0.044,0.047,0.001,0.001,0.001,0.001
1,500,0.035,0.047,0.035,0.035,0.035,0,0,0,0
2,0,0.035,0.049,0.054,0.054,0.056,0.001,0.001,0.001,0.001
2,500,0.035,0.046,0.031,0.031,0.032,0,0,0,0
3,0,0.043,0.05,0.049,0.049,0.049,0.001,0.001,0.001,0.001
3,500,0.041,0.047,0.032,0.032,0.032,0,0,0,0
4,0,0.042,0.05,0.05,0.05,0.049,0.001,0.001,0.001,0.001
4,500,0.041,0.047,0.032,0.032,0.032,0,0,0,0
5,0,0.042,0.05,0.049,0.049,0.049,0.001,0.001,0.001,0.001
5,500,0.041,0.047,0.032,0.032,0.032,0,0,0,0
6,0,0.042,0.05,0.05,0.049,0.049,0.001,0.001,0.001,0.001
6,500,0.042,0.047,0.032,0.032,0.032,0,0,0,0
7,0,0.043,0.051,0.049,0.049,0.049,0.001,0.001,0.001,0.001
7,500,0.041,0.047,0.032,0.032,0.032,0,0,0,0
8,0,0.043,0.05,0.049,0.049,0.049,0.001,0.001,0.001,0.001
8,500,0.04,0.047,0.032,0.032,0.032,0,0,0,0
9,0,0.041,0.05,0.048,0.049,0.049,0.001,0.001,0.001,0.001
9,500,0.039,0.047,0.032,0.033,0.032,0,0,0,0
