patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.006,1.818,0.014,0.006,0.006,0.001,0.01,0.01,0.01
0,500,0.007,0.026,0.011,0.011,0.011,0,0,0,0
1,0,32.412,16.507,13.144,2.152,2.021,0.001,0.007,0.007,0.007
1,500,1.744,1.695,1.631,1.547,1.503,0,0,0,0
2,0,13.063,0.825,1.423,1.398,1.324,0.001,0.007,0.007,0.007
2,500,1.241,1.218,1.194,1.142,1.145,0,0,0,0
3,0,12.724,1.4,1.702,1.628,1.512,0.001,0.016,0.016,0.016
3,500,1.41,1.373,1.325,1.285,1.229,0,0,0,0
4,0,7.305,0.853,1.249,1.236,1.15,0.001,0.016,0.016,0.016
4,500,1.01,1.023,0.972,0.972,0.944,0,0,0,0
5,0,16.377,0.765,1.583,1.475,1.433,0.001,0.017,0.017,0.017
5,500,1.3,1.283,1.232,1.193,1.155,0,0,0,0
6,0,11.046,1.13,1.416,1.348,1.332,0.001,0.017,0.017,0.017
6,500,1.19,1.186,1.147,1.137,1.244,0,0,0,0
7,0,16.634,1.98,1.479,1.388,1.365,0.001,0.015,0.015,0.015
7,500,1.168,1.178,1.105,1.102,1.048,0,0,0,0
8,0,15.75,1.221,1.402,1.361,1.273,0.001,0.016,0.016,0.016
8,500,1.147,1.117,1.08,1.033,1.013,0,0,0,0
9,0,9.045,0.914,1.217,1.135,1.13,0.001,0.016,0.016,0.016
9,500,0.992,1.004,0.974,0.936,0.934,0,0,0,0
