patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.007,0.008,0.025,0.024,0.018,0.001,0.05,0.09,0.09
0,500,0.004,0.031,0.02,0.018,0.025,0,0,0,0
1,0,16.302,9.96,8.575,16.228,16.211,0.001,0.05,0.09,0.09
1,500,15.898,15.902,15.924,15.918,15.912,0,0,0,0
2,0,11.357,8.088,8.641,15.862,15.857,0.001,0.05,0.1,0.164
2,500,10.327,15.146,14.628,13.6,13.601,0,0,0,0
3,0,10.349,7.38,7.873,13.551,13.552,0.001,0.05,0.094,0.094
3,500,10.315,14.083,13.301,12.777,12.748,0,0,0,0
4,0,10.324,7.712,8.567,12.73,12.722,0.001,0.05,0.1,0.159
4,500,10.321,11.921,11.923,11.931,11.93,0,0,0,0
5,0,10.376,8.412,8.879,11.897,11.893,0.001,0.05,0.1,0.111
5,500,10.328,11.118,11.108,11.117,11.121,0,0,0,0
6,0,10.338,9.012,9.524,12.21,12.213,0.001,0.05,0.1,0.17
6,500,10.344,10.329,10.33,10.326,10.34,0,0,0,0
7,0,10.35,9.591,10.092,11.481,11.493,0.001,0.05,0.1,0.168
7,500,10.333,10.333,10.333,10.335,10.33,0,0,0,0
8,0,10.346,10.251,10.758,11.493,11.488,0.001,0.05,0.1,0.163
8,500,10.348,10.332,10.349,10.354,10.353,0,0,0,0
9,0,10.367,10.963,11.452,11.496,11.478,0.001,0.05,0.1,0.165
9,500,10.36,10.35,10.338,10.475,10.352,0,0,0,0
