patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.011,0.007,0.012,0.012,0.012,0.001,0.009,0.009,0.009
0,500,0.01,0.012,0.011,0.012,0.011,0,0,0,0
1,0,10.041,1.124,1.994,1.88,1.791,0.001,0.009,0.009,0.009
1,500,1.318,4.841,1.26,1.225,1.185,0,0,0,0
2,0,1.165,0.714,1.401,1.333,1.308,0.001,0.011,0.011,0.011
2,500,0.983,1.011,0.962,0.964,1.091,0,0,0,0
3,0,0.899,0.585,1.201,1.103,1.08,0.001,0.011,0.011,0.011
3,500,0.824,0.84,1.797,0.774,1.856,0,0,0,0
4,0,0.794,0.402,0.991,0.991,0.991,0.001,0.011,0.011,0.011
4,500,1.121,0.77,0.769,0.769,0.769,0,0,0,0
5,0,0.794,0.484,0.993,0.992,0.992,0.001,0.011,0.011,0.011
5,500,1.371,0.771,0.768,0.768,0.768,0,0,0,0
6,0,0.996,0.458,1.13,1.114,1.05,0.001,0.012,0.012,0.012
6,500,0.792,0.773,0.77,0.769,0.77,0,0,0,0
7,0,0.864,0.412,0.994,0.992,0.996,0.001,0.011,0.011,0.011
7,500,0.791,1.123,0.872,0.772,0.772,0,0,0,0
8,0,0.792,0.404,0.991,0.992,1.14,0.001,0.011,0.011,0.011
8,500,0.792,0.921,1.543,0.774,1.903,0,0,0,0
9,0,0.793,0.415,0.991,0.993,1.858,0.001,0.012,0.012,0.012
9,500,0.826,0.774,0.772,0.772,0.772,0,0,0,0
