patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
0,500,0.002,0.002,0.002,0.002,0.002,0,0,0,0
1,0,0.061,0.045,0.064,0.063,0.064,0.001,0.001,0.001,0.001
1,500,0.063,0.045,0.043,0.043,0.042,0,0,0,0
2,0,0.054,0.046,0.062,0.061,0.062,0.001,0.001,0.001,0.001
2,500,0.064,0.044,0.042,0.043,0.043,0,0,0,0
3,0,0.062,0.045,0.062,0.061,0.061,0.001,0.001,0.001,0.001
3,500,0.065,0.044,0.042,0.042,0.043,0,0,0,0
4,0,0.061,0.046,0.063,0.062,0.061,0.001,0.001,0.001,0.001
4,500,0.067,0.044,0.043,0.043,0.043,0,0,0,0
5,0,0.067,0.047,0.066,0.065,0.064,0.001,0.001,0.001,0.001
5,500,0.065,0.044,0.044,0.044,0.044,0,0,0,0
6,0,0.066,0.046,0.066,0.066,0.066,0.001,0.001,0.001,0.001
6,500,0.065,0.044,0.043,0.043,0.043,0,0,0,0
7,0,0.067,0.046,0.067,0.065,0.065,0.001,0.001,0.001,0.001
7,500,0.065,0.044,0.044,0.044,0.044,0,0,0,0
8,0,0.067,0.045,0.066,0.066,0.066,0.001,0.001,0.001,0.001
8,500,0.064,0.045,0.043,0.043,0.043,0,0,0,0
9,0,0.066,0.045,0.067,0.064,0.064,0.001,0.001,0.001,0.001
9,500,0.062,0.044,0.042,0.043,0.042,0,0,0,0
