patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,0.367,0.107,0.56,0.558,0.558,0.001,0.034,0.034,0.034
0,1,500,0.369,0.569,0.566,0.567,0.567,0,0,0,0
0,2,0,0.372,0.099,1.257,1.024,1.018,0.001,0.034,0.034,0.034
0,2,500,0.554,0.967,1.01,0.898,0.9,0,0,0,0
0,3,0,0.521,0.099,0.826,0.822,0.822,0.001,0.028,0.028,0.028
0,3,500,0.458,0.789,0.787,0.763,0.744,0,0,0,0
1,3,0,0.853,0.065,0.703,0.682,0.681,0.001,0.026,0.026,0.026
1,3,500,0.799,0.663,0.659,0.657,0.639,0,0,0,0
0,4,0,0.378,0.078,0.627,0.626,0.625,0.001,0.032,0.032,0.032
0,4,500,0.376,0.634,0.632,0.631,0.631,0,0,0,0
2,4,0,0.719,0.154,0.606,0.604,0.605,0.001,0.019,0.019,0.019
2,4,500,0.722,0.612,0.608,0.614,0.607,0,0,0,0
0,5,0,0.398,0.095,0.617,0.616,0.616,0.001,0.026,0.026,0.026
0,5,500,0.402,1.006,0.623,0.622,0.624,0,0,0,0
2,5,0,0.713,0.079,0.551,0.548,0.547,0.001,0.024,0.024,0.024
2,5,500,0.719,0.564,0.685,0.556,0.555,0,0,0,0
0,6,0,0.375,0.09,0.566,0.566,0.565,0.001,0.036,0.036,0.036
0,6,500,0.374,0.566,0.564,0.585,0.564,0,0,0,0
3,6,0,0.709,0.067,0.544,0.544,0.548,0.001,0.02,0.02,0.02
3,6,500,0.711,0.556,0.553,0.553,0.554,0,0,0,0
0,7,0,0.393,0.09,0.621,0.618,0.618,0.001,0.028,0.028,0.028
0,7,500,0.39,0.628,0.625,0.622,0.624,0,0,0,0
3,7,0,0.739,0.07,0.601,0.954,0.599,0.001,0.021,0.021,0.021
3,7,500,0.739,0.609,0.607,0.614,0.611,0,0,0,0
0,8,0,0.373,0.074,0.621,0.618,0.618,0.001,0.032,0.032,0.032
0,8,500,0.376,0.627,0.626,0.626,0.625,0,0,0,0
4,8,0,0.725,0.112,0.605,0.601,0.599,0.001,0.013,0.013,0.013
4,8,500,0.722,0.608,0.606,0.606,0.606,0,0,0,0
0,9,0,0.394,0.076,0.618,0.622,0.62,0.001,0.03,0.03,0.03
0,9,500,0.388,0.627,0.625,0.625,0.626,0,0,0,0
4,9,0,0.739,0.116,0.604,0.601,0.6,0.001,0.017,0.017,0.017
4,9,500,0.739,0.613,0.606,0.606,0.815,0,0,0,0
