patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,1.793,0.006,0.082,0.096,1.19,0.001,0.05,0.1,0.449
0,500,0.004,0.414,0.382,0.382,0.382,0,0,0,0
1,0,39.568,11.056,138.498,123.435,856.198,0.001,0.05,0.1,0.437
1,500,6.46,5.244,5.176,5.168,5.18,0,0,0,0
2,0,4.779,0.506,1.734,3.11,14.074,0.001,0.05,0.1,0.45
2,500,4.759,5.006,5.009,5.012,5.001,0,0,0,0
3,0,1.353,0.534,2.007,3.569,13.615,0.001,0.05,0.1,0.416
3,500,1.348,10.778,8.818,7.065,5.686,0,0,0,0
4,0,1.768,0.891,4.623,7.43,18.301,0.001,0.05,0.1,0.4
4,500,1.78,5.208,5.211,5.197,5.191,0,0,0,0
5,0,1.792,0.896,2.168,3.763,10.876,0.001,0.05,0.1,0.337
5,500,1.779,5.203,5.063,5.056,5.005,0,0,0,0
6,0,1.361,0.513,2.64,4.232,13.906,0.001,0.05,0.1,0.405
6,500,1.358,5.034,5.061,5.066,5.544,0,0,0,0
7,0,1.775,0.895,2.654,4.52,13.359,0.001,0.05,0.1,0.406
7,500,1.774,5.035,5.068,5.068,5.074,0,0,0,0
8,0,1.36,0.537,2.466,4.699,13.591,0.001,0.05,0.1,0.403
8,500,1.353,5.427,5.444,5.439,5.434,0,0,0,0
9,0,1.357,1.527,2.677,4.569,13.778,0.001,0.05,0.1,0.412
9,500,1.364,5.425,5.439,5.457,5.385,0,0,0,0
