patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,0.851,0.248,1.034,1.034,1.033,0.001,0.013,0.013,0.013
0,1,500,0.854,1.176,1.171,1.171,1.173,0,0,0,0
0,2,0,0.817,0.225,1.046,1.055,1.031,0.001,0.021,0.021,0.021
0,2,500,0.819,1.067,1.061,1.062,1.062,0,0,0,0
0,3,0,0.77,0.321,1.158,1.158,1.157,0.001,0.022,0.022,0.022
0,3,500,0.771,1.09,1.084,1.081,1.086,0,0,0,0
1,3,0,1.591,0.291,1.068,1.066,1.053,0.001,0.014,0.014,0.014
1,3,500,1.589,1.076,1.074,1.076,1.074,0,0,0,0
0,4,0,0.853,0.234,1.074,1.054,1.059,0.001,0.023,0.023,0.023
0,4,500,0.857,1.08,1.078,1.081,1.081,0,0,0,0
2,4,0,1.636,0.397,1.051,1.046,1.052,0.001,0.015,0.015,0.015
2,4,500,1.637,1.188,1.186,1.187,1.187,0,0,0,0
0,5,0,0.678,0.167,1.053,1.053,1.053,0.001,0.023,0.023,0.023
0,5,500,0.678,1.095,1.095,1.08,1.079,0,0,0,0
2,5,0,1.458,0.255,1.046,1.045,1.045,0.001,0.023,0.023,0.023
2,5,500,1.457,1.188,1.188,1.188,1.188,0,0,0,0
0,6,0,0.859,0.257,1.051,1.051,1.051,0.001,0.023,0.023,0.023
0,6,500,0.871,1.096,1.096,1.096,1.095,0,0,0,0
3,6,0,1.602,0.27,1.048,1.045,1.045,0.001,0.023,0.023,0.023
3,6,500,1.613,1.189,1.188,1.189,1.189,0,0,0,0
0,7,0,0.72,0.258,1.175,1.174,1.174,0.001,0.023,0.023,0.023
0,7,500,0.658,1.082,1.081,1.085,1.08,0,0,0,0
3,7,0,1.317,0.27,1.047,1.046,1.046,0.001,0.031,0.031,0.031
3,7,500,1.318,1.078,1.077,1.076,1.078,0,0,0,0
0,8,0,0.722,0.303,1.174,1.162,1.16,0.001,0.024,0.024,0.024
0,8,500,0.717,1.194,1.194,1.193,1.192,0,0,0,0
4,8,0,1.358,0.368,1.047,1.047,1.077,0.001,0.032,0.032,0.032
4,8,500,1.356,1.096,1.077,1.078,1.078,0,0,0,0
0,9,0,0.662,0.348,1.051,1.05,1.049,0.001,0.024,0.024,0.024
0,9,500,0.661,1.084,1.078,1.078,1.078,0,0,0,0
4,9,0,1.409,0.369,1.156,1.158,1.157,0.001,0.048,0.048,0.048
4,9,500,1.314,1.081,1.08,1.08,1.08,0,0,0,0
