patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.003,0.002,0.048,0.067,0.936,0.001,0.05,0.1,1.236
0,500,0.002,0.315,0.318,0.347,0.925,0.001,0.05,0.1,0.736
1,0,0.1,0.108,0.975,1.917,24.296,0.001,0.05,0.1,1.134
1,500,0.067,0.959,1.554,2.164,12.268,0.001,0.05,0.1,0.805
2,0,1.722,0.173,0.813,1.456,16.652,0.001,0.05,0.1,1.106
2,500,0.173,1.019,1.608,2.22,11.37,0.001,0.05,0.1,0.664
3,0,1.702,0.285,1.016,1.735,16.988,0.001,0.05,0.1,0.888
3,500,0.154,1.279,1.887,2.555,11.534,0.001,0.05,0.1,0.514
4,0,0.068,0.111,0.721,1.429,16.974,0.001,0.05,0.1,1.136
4,500,0.064,0.965,1.559,2.174,4.648,0.001,0.05,0.093,0.093
5,0,0.065,0.097,0.738,1.45,17.256,0.001,0.05,0.1,0.839
5,500,0.064,0.989,1.556,2.161,4.313,0.001,0.05,0.1,0.181
6,0,1.896,0.206,0.977,1.758,16.352,0.001,0.05,0.1,1
6,500,0.098,1.037,1.651,2.291,4.386,0.001,0.001,0.001,0.001
7,0,0.043,0.097,0.716,1.436,16.797,0.001,0.05,0.1,1.132
7,500,0.037,0.958,1.557,2.165,4.313,0.001,0.05,0.099,0.099
8,0,1.691,0.397,1.019,1.663,2.793,0.001,0.05,0.1,0.818
8,500,0.08,1.26,1.863,2.498,3.242,0.001,0.05,0.1,0.561
9,0,3.001,0.185,1.122,1.677,4.126,0.001,0.05,0.1,1.14
9,500,0.059,1.025,1.613,2.257,4.159,0.001,0.05,0.1,0.811
